method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
PTGAN-CP,7,50,0.03838521055877209,1.0,0.0,0.11583050166766816,0.06095720684286649
PTGAN-CP,7,100,0.07647237740457058,1.0,0.0,0.10913525916842008,0.04090542096712196
PTGAN-CP,7,200,0.1511707529425621,1.0,0.0,0.10873353535635102,0.024779476112300438
PTGAN-CP,7,400,0.2977395448833704,1.0,0.0,0.1309887238554319,0.01619777899017232
PTGAN-CP,7,800,0.5885861292481422,1.0,0.0,0.13220379434112164,0.011656731392175308
PTGAN-CP,7,1000,0.7354467138648033,1.0,0.0,0.12275817954715808,0.0187821263881608
WGAN-GP,8,0,0.0,1.0,0.0,0.19431605615166192,0.11806540626346247
WGAN-GP,8,50,0.043500667437911034,1.0,0.0,0.14908806804469185,0.06159422510920098
WGAN-GP,8,100,0.08658125251531601,1.0,0.0,0.27756009457636543,0.15397617071329628
WGAN-GP,8,200,0.17137729562819004,1.0,0.0,0.1809572446239099,0.09084144070849885
WGAN-GP,8,400,0.3400929197669029,1.0,0.0,0.11197404106484632,0.030927426571525536
WGAN-GP,8,800,0.6758336275815964,1.0,0.0,0.1119251853054675,0.015256203033850904
WGAN-GP,8,1000,0.8443474192172289,1.0,0.0,0.1243501609617407,0.013806083219600791
PTGAN-CP,8,0,0.0,1.0,0.0,0.1642856083088147,0.09081051967452257
PTGAN-CP,8,50,0.03830662555992603,1.0,0.0,0.12405989500507326,0.03432948645144041
PTGAN-CP,8,100,0.07652837783098221,1.0,0.0,0.13239294730954435,0.02011534040193707
PTGAN-CP,8,200,0.15101654455065727,1.0,0.0,0.15931468999999254,0.02644725045537607
PTGAN-CP,8,400,0.2973930053412914,1.0,0.0,0.11777875683090841,0.014828793305515158
PTGAN-CP,8,800,0.5872311722487211,1.0,0.0,0.12814862946218564,0.012990551761261869
PTGAN-CP,8,1000,0.7337683402001858,1.0,0.0,0.11652815191598712,0.013640902267113092
WGAN-GP,9,0,0.0,1.0,0.0,0.1422749230967222,0.0787294778340068
WGAN-GP,9,50,0.043497541919350624,1.0,0.0,0.10875009960346556,0.04688364843968419
WGAN-GP,9,100,0.08671337366104126,1.0,0.0,0.12232920530184299,0.03479802450339741
