method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
PTGAN-CP,5,1200,0.872657997533679,8.0,0.09400000000000001,0.5101027234869921,0.23163624971652882
PTGAN-CP,5,1500,1.0901142898947,8.0,0.03925000000000001,0.44757035617370333,0.18155258611403355
WGAN-GP,6,0,0.0,0.0,0.6835,1.3300947799884884,0.9042870475363464
WGAN-GP,6,50,0.04321233369410038,0.0,0.722,1.315008412950541,0.8888798592620337
WGAN-GP,6,100,0.08613899908959866,0.0,0.75,0.9698596013366139,0.8688620992913143
WGAN-GP,6,200,0.1706771645694971,1.0,0.8454999999999999,0.5879947420733367,0.8855449789276456
WGAN-GP,6,400,0.3379775807261467,1.0,0.772,0.7562870274217297,0.8349745357326693
WGAN-GP,6,800,0.6718033738434315,1.0,0.826,0.5307030704886695,1.1722957446023767
WGAN-GP,6,1200,1.0048496220260859,2.0,0.6752499999999999,0.6644115248412231,0.7992616924291899
WGAN-GP,6,1500,1.2552032470703125,2.0,0.75,0.5112888472241913,0.9278959891794833
PTGAN-GP,6,0,0.0,0.0,0.7275,1.3656931345049845,0.9197628403664521
PTGAN-GP,6,50,0.04525862634181976,0.0,0.7975,1.2077982274903847,0.9163054997762852
PTGAN-GP,6,100,0.0901971273124218,0.0,0.875,1.0191648976492154,0.9049518498639746
PTGAN-GP,6,200,0.17873737961053848,1.0,0.875,0.7314362781220323,0.8828457608164254
PTGAN-GP,6,400,0.354310629889369,1.0,0.75,1.0760279086569158,0.8577378479030875
PTGAN-GP,6,800,0.703451419249177,1.0,0.875,0.5091165571664089,1.1740395129800496
PTGAN-GP,6,1200,1.051962960511446,0.0,0.75,0.7140018707723449,0.9027908768318458
PTGAN-GP,6,1500,1.3140001259744167,1.0,0.875,0.558080836771223,1.1351325596999013
PTGAN-CP,6,0,0.0,0.0,0.7275,1.3656931345049845,0.9197628403664521
PTGAN-CP,6,50,0.038029247894883156,0.0,0.836,1.2265381564313385,0.9190227210539995
PTGAN-CP,6,100,0.07582149654626846,0.0,0.875,1.070548249501946,0.9133444988909595
PTGAN-CP,6,200,0.15003528632223606,0.0,0.75,0.8582611398958998,0.9000100323165002
PTGAN-CP,6,400,0.2960389945656061,0.0,0.5,1.0925385935231906,0.7841595346101053
PTGAN-CP,6,800,0.5853469520807266,3.0,0.42225,0.8199143883465663,0.48140110290836574
PTGAN-CP,6,1200,0.8741562832146883,8.0,0.13625,0.6192351058336563,0.29537076617322644
PTGAN-CP,6,1500,1.0914064478129148,8.0,0.06225000000000001,0.5634977822777636,0.26675489536902636
WGAN-GP,7,0,0.0,0.0,0.75,1.1302886138145387,0.8617480583344955
WGAN-GP,7,50,0.04320700094103813,0.0,0.75,1.1509490020993307,0.8671778189297136
WGAN-GP,7,100,0.08640866540372372,0.0,0.767,0.9824779103721193,0.861868054079571
WGAN-GP,7,200,0.17078779079020023,0.0,0.749,1.0230314292502536,0.802104221962843
WGAN-GP,7,400,0.33829803951084614,1.0,0.625,0.6751052024286577,0.7717817604305351
WGAN-GP,7,800,0.6719144135713577,2.0,0.5342499999999999,0.7861648350732022,0.5108168217799206
